id,model,oem,country,machine_type,power_use,class_tonnage,engine_power_kw,blade_size_mm,bucket_size_m3,year_of_release,status,source_link,source_date,notes
volvo-ec230-electric,EC230 Electric,Volvo Construction Equipment,Sweden,Excavator,Battery electric,23 t,Peak 160 / Continuous 105,,,2024 (NA launch),Released,https://www.equipmentworld.com/construction-equipment/heavy-equipment/excavators/article/15676435/volvos-new-ec230-is-largest-electric-excavator-on-us-market,2024-05-31,Runtime 4–5 h typical; DC fast charge to extend shift
volvo-l25-electric,L25 Electric,Volvo Construction Equipment,Sweden,Wheel loader,Battery electric,~5.3 t,Drive 22 / Hydraulics 14,,0.8–0.95,,Released,https://www.volvoce.com/-/media/aprimo/pdf/electric-compact-wheel-loaders/l25-electric/product-guide-l25-electric-en-22-20062470-a.pdf,,"48 V, 40 kWh battery"
cat-793-bev-early-learner,Cat 793 XE Early Learner (battery-electric),Caterpillar,USA,Dump truck,Battery electric,231 t payload (haul truck),,,,2025 (site trials),Under development / testing,https://www.bhp.com/news/media-centre/releases/2025/12/bhp-and-rio-tinto-welcome-first-caterpillar-battery-electric-haul-trucks-to-the-pilbara,2025-12-05,Early Learner program testing at BHP/Rio Tinto sites
komatsu-hb215lc-1,HB215LC-1 Hybrid,Komatsu,Japan,Excavator,Diesel-electric hybrid,21.2 t,110 (148 hp),,max 1.36,2011,Released,https://www.komatsu.co.nz/getattachment/ae1380e3-5236-4923-a9ff-605cb4906fcb/HB205_215LC_CEN00450-00_201101.pdf,2011-01-01,Hybrid swing motor with ultracapacitor; ~25% fuel reduction vs PC200-8
komatsu-pc210lce-11,PC210LCE-11 (battery-electric),Komatsu,Japan,Excavator,Battery electric,24.4 t,123 (motor),,0.50–0.93,2023 (rental intro),Released (rental / selected markets),https://www.komatsu.eu/en/news/komatsu-ready-to-launch-new-20-tonnes-class-electric-excavators,2023-09-26,Battery 450 kWh; CCS Type 2; 5–10 h continuous operation depending on duty
hitachi-zx55u-6eb,ZX55U-6EB,Hitachi Construction Machinery,Japan,Excavator,Battery electric,5.33 t,33,,0.14,2022,Released (EU),"https://www.earthmoversmagazine.co.uk/news/view,new-electric-hitachi-zx55u6eb-excavator_5386.htm",2022-07-05,39.4 kWh battery; wired operation option
liebherr-r9xx-h2,R 9XX H2 (hydrogen ICE prototype),Liebherr,France/Germany,Excavator,Hydrogen (combustion),~50 t,H966 H2 ICE (PFI),,,2022 (prototype),Under development,https://www.liebherr.com/en-int/n/5-things-you-may-not-have-known-about-the-r-9xx-h-2-crawler-excavator-with-hydrogen-engine-28039-3935641,2022-10-22,Shown at Bauma 2022; near-zero CO2 tank-to-wheel
hyundai-hw155h,HW155H (hydrogen fuel cell concept),HD Hyundai Construction Equipment,South Korea,Excavator,Hydrogen fuel cell,14–15 t (wheeled),Fuel cell 70–100,,,2025 (planned showcase),Under development,https://electrek.co/2025/01/27/hd-hyundai-set-to-debut-production-14-ton-hydrogen-wheeled-excavator/,2025-01-27,Production unveil targeted around bauma 2025
xcmg-xc968-ev,XC968-EV,XCMG,China,Wheel loader,Battery electric,"19–20 t (rated load 6,000 kg)",Drive 2×120; Hydraulics 80,,3.5,,Released,https://www.xcmgglobal.com/product/pro-detail.jsp?id=122450,,Battery options 282–423 kWh per regional specs
develon-dx20ze-7,DX20ZE-7,DEVELON (formerly Doosan),South Korea,Excavator,Battery electric,~2 t,13.7,,0.05,2023,Released,"https://www.earthmoversmagazine.co.uk/news/view,new-develon-dx20ze7-electric-miniexcavator_6185.htm",2023-09-05,20.4 kWh Li-ion; fast charge to 80% ≈ 1h20
